,Unnamed: 0,time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
0,0,2022-01-01T00:00,18.0,96,0.0,906.6
1,1,2022-01-01T01:00,18.2,95,0.1,907.4
2,2,2022-01-01T02:00,18.0,96,0.1,907.2
3,3,2022-01-01T03:00,17.9,97,0.3,906.5
4,4,2022-01-01T04:00,17.8,98,1.0,905.9
5,5,2022-01-01T05:00,17.8,98,0.9,905.7
6,6,2022-01-01T06:00,17.3,98,1.4,905.6
7,7,2022-01-01T07:00,17.2,98,2.1,905.7
8,8,2022-01-01T08:00,17.2,99,10.9,906.0
9,9,2022-01-01T09:00,17.4,97,3.8,907.3
10,10,2022-01-01T10:00,17.6,97,0.5,907.7
11,11,2022-01-01T11:00,17.6,97,1.2,907.9
12,12,2022-01-01T12:00,17.7,97,1.0,908.1
13,13,2022-01-01T13:00,18.3,96,0.5,908.2
14,14,2022-01-01T14:00,18.6,96,0.4,908.0
15,15,2022-01-01T15:00,19.1,96,0.4,907.5
16,16,2022-01-01T16:00,20.0,92,0.5,907.1
17,17,2022-01-01T17:00,20.8,90,0.9,907.0
18,18,2022-01-01T18:00,20.5,90,0.7,906.3
19,19,2022-01-01T19:00,21.5,85,0.8,906.3
20,20,2022-01-01T20:00,21.3,87,1.7,906.4
21,21,2022-01-01T21:00,19.8,91,2.3,905.9
22,22,2022-01-01T22:00,18.4,95,2.6,906.3
23,23,2022-01-01T23:00,18.2,97,3.1,907.3
24,24,2022-01-02T00:00,18.1,98,2.4,908.1
25,25,2022-01-02T01:00,18.1,97,1.2,908.8
26,26,2022-01-02T02:00,18.0,97,0.3,908.8
27,27,2022-01-02T03:00,17.8,98,0.1,908.1
28,28,2022-01-02T04:00,17.6,98,0.5,907.7
29,29,2022-01-02T05:00,17.5,98,0.0,907.5
30,30,2022-01-02T06:00,17.4,98,0.0,907.5
31,31,2022-01-02T07:00,17.4,98,0.0,907.7
32,32,2022-01-02T08:00,17.2,98,0.0,908.4
33,33,2022-01-02T09:00,17.5,97,0.0,909.5
34,34,2022-01-02T10:00,17.9,97,0.1,910.0
35,35,2022-01-02T11:00,18.0,96,0.4,910.4
36,36,2022-01-02T12:00,18.3,96,0.5,910.4
37,37,2022-01-02T13:00,18.3,96,0.2,910.4
38,38,2022-01-02T14:00,18.6,92,0.0,910.0
39,39,2022-01-02T15:00,18.7,92,0.1,909.4
40,40,2022-01-02T16:00,18.6,93,0.1,908.8
41,41,2022-01-02T17:00,18.3,95,0.1,908.0
